ID,Timestamp,Source IP,Result,Score,User
1,2026-02-28 09:45:16.948954,manual,Signature Attack,1.0,user1
2,2026-02-28 09:46:20.810472,manual,Signature Attack,1.0,user1
3,2026-02-28 10:35:05.399034,manual,Normal,0.05252732403739929,user1
4,2026-02-28 10:35:26.097349,csv,Normal,0.1116664948246674,user1
5,2026-02-28 10:35:26.137115,csv,Normal,0.12291602516764827,user1
6,2026-02-28 10:35:26.175431,csv,Anomaly Attack,-0.26432198455018374,user1
7,2026-02-28 10:35:26.216127,csv,Anomaly Attack,-0.26432198455018374,user1
8,2026-02-28 10:35:26.224375,csv,Signature Attack,1.0,user1
9,2026-02-28 10:35:26.232453,csv,Signature Attack,1.0,user1
10,2026-02-28 10:35:26.266875,csv,Normal,0.11663609181598533,user1
11,2026-02-28 10:35:26.299985,csv,Anomaly Attack,-0.26432198455018374,user1
12,2026-02-28 11:09:30.930174,simulation,Normal,0.05288020045115821,user1
13,2026-02-28 11:10:03.653949,simulation,Normal,0.054987341401516676,user1
14,2026-02-28 14:14:15.744647,simulation,Signature Attack,1.0,admin
15,2026-02-28 14:31:26.237956,manual,Normal,0.10098321309543323,admin
16,2026-02-28 14:31:45.081923,csv,Normal,0.12365112972407355,admin
17,2026-02-28 14:31:45.121349,csv,Normal,0.12505493685549568,admin
18,2026-02-28 14:31:45.164914,csv,Anomaly Attack,-0.26204377302639414,admin
19,2026-02-28 14:31:45.202253,csv,Anomaly Attack,-0.26204377302639414,admin
20,2026-02-28 14:31:45.211139,csv,Signature Attack,1.0,admin
21,2026-02-28 14:31:45.220121,csv,Signature Attack,1.0,admin
22,2026-02-28 14:31:45.252611,csv,Normal,0.12328328140946171,admin
23,2026-02-28 14:31:45.286049,csv,Anomaly Attack,-0.26204377302639414,admin
24,2026-02-28 14:32:17.843709,csv,Normal,0.12365112972407355,admin
25,2026-02-28 14:32:17.884883,csv,Normal,0.12505493685549568,admin
26,2026-02-28 14:32:17.924410,csv,Anomaly Attack,-0.26204377302639414,admin
27,2026-02-28 14:32:17.961165,csv,Anomaly Attack,-0.26204377302639414,admin
28,2026-02-28 14:32:17.972175,csv,Signature Attack,1.0,admin
29,2026-02-28 14:32:17.979803,csv,Signature Attack,1.0,admin
30,2026-02-28 14:32:18.013744,csv,Normal,0.12328328140946171,admin
31,2026-02-28 14:32:18.054147,csv,Anomaly Attack,-0.26204377302639414,admin
